sheet,row,register_raw,register_start,register_end,is_range,friendly_name,description,bytes,data_type,format,access,present_from_version,extra_col_i,extra_col_j,extra_col_k,parser_note
MainControlMonitoring,11,273,273,273,false,,Appliance Flow Temperature,2,INT16,"0,01°C",R,1.00,,,,
MainControlMonitoring,12,274,274,274,false,,Appliance Return Temperature,2,INT16,"0,01°C",R,1.00,,,,
MainControlMonitoring,13,275,275,275,false,,Status bitfield of the appliance/cascade,1,UINT8,Bit 0: Direct zones allowed to run Bit 1: Mixing circuits allowed to run Bit 2: all valves open/ pump running within safety Bit 3: Manual heat demand active Bit 4: CoolingAllowed Bit 5: DHW circuits allowed to run Bit 6: Heat Engine Active Bit 7: Padding,R,1.00,,,,
MainControlMonitoring,14,276,276,276,false,,Special Status bitfield of the appliance /cascade,1,UINT8,Bit 0: Shutdown Bit 1: Heating Bit 2: Cooling Bit 3: Screed drying Bit 4: Electric Bit 5: FrostProtection Bit 6: SummerWinter Bit 7: SummerNeutralBand,R,1.00,,,,
MainControlMonitoring,15,277,277,277,false,,Appliance Current error (0xFFFF means no error),2,UINT16,"0xFFFF= 65535 : No error otherwise error (eg 0x0207 = ""02.07"" Water pressure error Cf manual)",R,1.00,,,,
MainControlMonitoring,16,278,278,278,false,,Appliance error priority,1,ENUM8,0 : Locking 3 : Blocking 6 : Warning 255 : No error,R,1.00,,,,
MainControlMonitoring,17,279,279,279,false,,Appliance status 1,1,UINT8,Bit 0: Flame or heat generator on Bit 1: Heat pump is on Bit 2: Electrical Backup 1 On Bit 3: Electrical Backup 2 On Bit 4: DHW Electrical Backup On Bit 5: Service Required Bit 6: Power-Down Reset Needed Bit 7: Water Pressure Low,R,1.00,,,,
MainControlMonitoring,18,280,280,280,false,,Appliance status 2,1,UINT8,Bit 0: Pump running Bit 1: Three Way Valve Open Bit 2: Three Way Valve Bit 3: Three Way Valve Closed Bit 4: DHW Active Bit 5: CH Active Bit 6: Cooling Active Bit 7: Solar Active,R,1.00,,,,
MainControlMonitoring,19,281-287,281,287,true,reserved for futur use,,,,,,,,,,reserved range in source; not expanded for gap count
MainControlMonitoring,20,288,288,288,false,PC002,Counter burner starts,4,UINT32,Unit,R,1.00,,,,
MainControlMonitoring,22,290,290,290,false,PC003,Counter Burning Hours,4,UINT32,Hours,R,1.00,,,,
MainControlMonitoring,24,292,292,292,false,AC002,Number of hours appliance was active after service,2,UINT16,2Hours,R,1.00,,,,
MainControlMonitoring,25,293,293,293,false,AC004,Number of successful Compressor Starts after service,4,UINT32,Unit,R,1.00,,,,
