register,datatype,access,display_code,table,line,description_excerpt
400,INT16,R,AM016,Tab.12     Appliance registers,564,"Température Départ Système reçue du gestionnaire de 0,01 °C                   -327,68 -          AM016 charge                                                                        327,68"
401,INT16,R,AM018,Tab.12     Appliance registers,566,"Température Retour Système reçue par le gestionnaire 0,01 °C                  -327,68 -          AM018 de consommateurs                                                              327,68"
402,INT16,R,AM036,Tab.12     Appliance registers,569,"Temperatura fumi in uscita        0,01 °C                         -20 – 120               R           AM036 dall'apparecchio it   5 Configurazione"
403,INT16,R,HM001,Tab.12     Appliance registers,571,"Temperatura di mandata del­ 0,01 °C                           -20 – 120         R           HM001 la pompa di calore"
404,INT16,R,HM002,Tab.12     Appliance registers,583,"Temperatura di ritorno della     0,01 °C                      -20 – 120         R           HM002 pompa di calore"
408,UINT16,R,DM004,Tab.12     Appliance registers,585,"Température de consigne          0,01 °C                  0 – 655,35          R           DM004 départ eau chaude sanitaire"
409,UINT8,R,AM019,Tab.12     Appliance registers,587,"Pression d'eau du circuit de l'appareil                        0,1 bar        0,0 – 3,0          AM019 5.7.3      Relever les températures de départ et de retour"
411,ENUM8,R,AM012,Tab.12     Appliance registers,589,"Stato principale attuale del­    Vedere la tabella seguente                     R           AM012 l'apparecchio.                   Tab.236, pagina 124"
412,ENUM8,R,AM014,Tab.12     Appliance registers,591,"Subestado atual do apare­      Consulte o quadro seguin­                       R           AM014 lho.                           te Sep.292, página 153"
413,UINT16,R,AM024,Tab.12     Appliance registers,593,Actueel relatief vermogen        %                        0 – 100             R           AM024 van het apparaat
415,UINT8,R,GM008,Tab.12     Appliance registers,595,"Nombre total de démarrages       0,1 µA                   0 – 25              R           GM008 du générateur de chaleur. Pour chauffage et eau chau­ de sanitaire"
419,UINT32,R,PC002,Tab.12     Appliance registers,598,Nombre total de démarrages       1 Unités                 0 – 4294967295      R           PC002 du générateur de chaleur. Pour chauffage et eau chau­ de sanitaire
421,UINT32,R,PC003,Tab.12     Appliance registers,601,Número total de horas que el 1 horas                     0 – 4294967295     L          PC003 equipo ha producido energía para calefacción y agua ca­ liente sanitaria
423,UINT32,R,AC030,Tab.12     Appliance registers,605,Número de arranques de la       Unidades 1               0 – 4294967295     L          AC030 primera fase de respaldo eléctrico
425,UINT32,R,AC028,Tab.12     Appliance registers,607,Número de horas de funcio­      1 horas                  0 – 4294967295     L          AC028 namiento de la primera fase de respaldo eléctrico
427,UINT32,R,AC031,Tab.12     Appliance registers,610,Numero di avviamenti del se­ 1 Unità                          0 – 4294967295    R           AC031 condo stadio di backup elet­ trico
429,UINT32,R,AC029,Tab.12     Appliance registers,612,Número de horas de funcio­ 1 Horas                             0 – 4294967295        R           AC029 namento da segunda fase do apoio elétrico
431,UINT32,R,AC001,Tab.12     Appliance registers,615,Numero di ore in cui l'appa­     1 Ore                        0 – 4294967295    R           AC001 recchio è stato collegato alla rete elettrica
433,UINT32,R,AC005,Tab.12     Appliance registers,618,Energia consumida em               1 kWh                       0 – 4294967295        R           AC005 aquecimento central (kWh)
435,UINT32,R,AC006,Tab.12     Appliance registers,620,Energia consumida em água          1 kWh                       0 – 4294967295        R           AC006 quente sanitária (kWh)
437,UINT32,R,AC007,Tab.12     Appliance registers,622,Consommation d'énergie            1 kWh                      0 – 4294967295       R           AC007 pour le froid (kWh)
439,UINT32,,,Tab.12     Appliance registers,624,Totaal energieverbruik (kWh) 1 kWh                        0 – 4294967295      R/W 5 Configuratie    nl
441,UINT32,R/W,AC018,Tab.12     Appliance registers,626,Vom Zusatzerzeuger ver­         1 kWh                       0 – 4294967295       R/W        AC018 brauchte Energie
443,UINT32,,,Tab.12     Appliance registers,627,Somme des énergies thermi­ 1 kWh                             0 – 4294967295       R/W ques produites (kWh)
445,UINT32,R/W,AC008,Tab.12     Appliance registers,629,Erogazione di energia termi­     1 kWh                        0 – 4294967295    R/W         AC008 ca per il riscaldamento cen­ trale (kWh)
447,UINT32,R/W,AC009,Tab.12     Appliance registers,631,Suministro de energía térmi­      1 kWh                       0 – 4294967295       L/E        AC009 ca para el agua caliente sa­ nitaria (kWh)
449,UINT32,R/W,AC010,Tab.12     Appliance registers,633,Erogazione di energia termi­      1 kWh                        0 – 4294967295         R/W         AC010 ca per il raffrescamento (kWh)
451,UINT32,R/W,AC019,Tab.12     Appliance registers,635,Vom elektrischen oder hyd­      1 kWh                       0 – 4294967295       R/W        AC019 raulischen Zusatzerzeuger gelieferte Energie
