block,datatype,access,classification,context,description,sources
7606,UINT8,R,nur R laut Doku,BufferTank (22),Buffer Tank winning heat demand request : the winning heat demand requested by the zones connected after the buffer tank - heatdemandType,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
8112-8113,UINT32,R,nur R laut Doku,Solar (21),Signal for storing the total solar thermal energy collected for DHW and CH.,GTW-08-Modbus-parameterlijst_gap_report.md
8114,ENUM8,R,nur R laut Doku,Solar (21),Signal for storing the actual status of the advanced solar range boiler,GTW-08-Modbus-parameterlijst_gap_report.md
8115,UINT16,R,nur R laut Doku,Solar (21),Signal for storing the instantaneous mean rotation speed of the solar pumps.,GTW-08-Modbus-parameterlijst_gap_report.md
8116,INT16,R,nur R laut Doku,Solar (21),Signal for storing the actual measured instantaneous value of the DHW tank low temperature sensor.,GTW-08-Modbus-parameterlijst_gap_report.md
8117,INT16,R,nur R laut Doku,Solar (21),Signal for storing the actual measured instantaneous value of the CH tank low temperature sensor.,GTW-08-Modbus-parameterlijst_gap_report.md
8118,INT16,R,nur R laut Doku,Solar (21),Signal for storing the instantaneous temperature of the heat conduct. medium at the solar collector. - collector 1,GTW-08-Modbus-parameterlijst_gap_report.md
8119,INT16,R,nur R laut Doku,Solar (21),Signal for storing the instantaneous temperature of the heat conduct. medium at the solar collector - collector 2,GTW-08-Modbus-parameterlijst_gap_report.md
8120,ENUM8,R,nur R laut Doku,Solar (21),Signal for storing the instantaneous status of each three way valve (ON or OFF). - valve 1,GTW-08-Modbus-parameterlijst_gap_report.md
8121,ENUM8,R,nur R laut Doku,Solar (21),Signal for storing the instantaneous status of each three way valve (ON or OFF). - valve 2,GTW-08-Modbus-parameterlijst_gap_report.md
8122,INT16,R,nur R laut Doku,Solar (21),Reduction of the setpoint of the DHW primary based on the heat delivery of a solar collector (solar first).,GTW-08-Modbus-parameterlijst_gap_report.md
8123,INT16,R,nur R laut Doku,Solar (21),Reduction of the setpoint of a buffered CH zone based on the heat delivery of a solar collector (solar first).,GTW-08-Modbus-parameterlijst_gap_report.md
8141,ENUM8,R/W,enthält W laut Doku,Solar (21),Configuration of the solar hydraulics installation type.,GTW-08-Modbus-parameterlijst_gap_report.md
8142,ENUM8,R/W,enthält W laut Doku,Solar (21),Parameter to configure the mode of the advanced solar DHW and/or CH function group.,GTW-08-Modbus-parameterlijst_gap_report.md
8143,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for nominal DHW tank T° setpoint.,GTW-08-Modbus-parameterlijst_gap_report.md
8144,UINT16,R/W,enthält W laut Doku,Solar (21),"Parameter for configuring the nominal setpoint to charge the CH tank with solar energy, possible values are within the range 8°C ~ 60°C",GTW-08-Modbus-parameterlijst_gap_report.md
8145,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for configuring the maximum allowed temperature temperature in the solar panel.- collector 1,GTW-08-Modbus-parameterlijst_gap_report.md
8146,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for configuring the maximum allowed temperature temperature in the solar panel - collector 2,GTW-08-Modbus-parameterlijst_gap_report.md
8147,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for maximal DHW tank T° setpoint.,GTW-08-Modbus-parameterlijst_gap_report.md
8148,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for maximal CH tank T° setpoint.,GTW-08-Modbus-parameterlijst_gap_report.md
8149,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for setting the minimal temperature rise corresponding to one step increase in pump speed.,GTW-08-Modbus-parameterlijst_gap_report.md
8150,UINT16,R/W,enthält W laut Doku,Solar (21),Parameter for setting the minimal temperature rise corresponding to one step increase in pump speed.,GTW-08-Modbus-parameterlijst_gap_report.md
9001,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),PV function Active,GTW-08-Modbus-parameterlijst_gap_report.md
9002,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),PV function Contact Logic,GTW-08-Modbus-parameterlijst_gap_report.md
9003,UINT16,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Zone Dhw primary Boost PV Setpoint,GTW-08-Modbus-parameterlijst_gap_report.md
9004,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Peak/OffPeak Active,GTW-08-Modbus-parameterlijst_gap_report.md
9005,ENUM8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Peak input contact logic configuration,GTW-08-Modbus-parameterlijst_gap_report.md
9006,INT8,R/W,enthält W laut Doku,Thermodynamic Water Heater (12),Max time BackUp off when peak mode enabled,GTW-08-Modbus-parameterlijst_gap_report.md
